Program,buy_date,cohort_start_date,cohort_name,days_to_start,month_sale,month_start
FS,14/09/2023,6/11/2023,spain-fs-pt-53,53,9,11
FS,13/09/2023,6/11/2023,spain-fs-pt-53,54,9,11
FS,13/09/2023,6/11/2023,spain-fs-pt-53,54,9,11
FS,7/09/2023,6/11/2023,spain-fs-pt-53,60,9,11
FS,7/09/2023,6/11/2023,spain-fs-pt-53,60,9,11
FS,7/09/2023,6/11/2023,spain-fs-pt-53,60,9,11
FS,6/09/2023,6/11/2023,spain-fs-pt-53,61,9,11
FS,6/09/2023,6/11/2023,spain-fs-pt-53,61,9,11
FS,29/08/2023,6/11/2023,spain-fs-pt-53,69,8,11
FS,26/07/2023,6/11/2023,spain-fs-pt-53,103,7,11
FS,31/05/2023,6/11/2023,spain-fs-pt-53,159,5,11
FS,31/03/2023,6/11/2023,spain-fs-pt-53,220,3,11
DS,30/10/2023,20/11/2023,spain-ds-pt-4,21,10,11
DS,26/10/2023,20/11/2023,spain-ds-pt-4,25,10,11
DS,18/10/2023,20/11/2023,spain-ds-pt-4,33,10,11
DS,16/10/2023,20/11/2023,spain-ds-pt-4,35,10,11
DS,29/09/2023,20/11/2023,spain-ds-pt-4,52,9,11
DS,27/09/2023,20/11/2023,spain-ds-pt-4,54,9,11
DS,22/09/2023,20/11/2023,spain-ds-pt-4,59,9,11
DS,13/09/2023,20/11/2023,spain-ds-pt-4,68,9,11
DS,25/08/2023,20/11/2023,spain-ds-pt-4,87,8,11
DS,2/08/2023,20/11/2023,spain-ds-pt-4,110,8,11
DS,11/04/2023,20/11/2023,spain-ds-pt-4,223,4,11
FS,31/10/2023,21/11/2023,spain-fs-pt-54,21,10,11
FS,12/10/2023,21/11/2023,spain-fs-pt-54,40,10,11
FS,5/10/2023,21/11/2023,spain-fs-pt-54,47,10,11
FS,4/10/2023,21/11/2023,spain-fs-pt-54,48,10,11
FS,2/10/2023,21/11/2023,spain-fs-pt-54,50,10,11
FS,30/09/2023,21/11/2023,spain-fs-pt-54,52,9,11
FS,28/09/2023,21/11/2023,spain-fs-pt-54,54,9,11
FS,27/09/2023,21/11/2023,spain-fs-pt-54,55,9,11
FS,26/09/2023,21/11/2023,spain-fs-pt-54,56,9,11
FS,25/09/2023,21/11/2023,spain-fs-pt-54,57,9,11
FS,21/09/2023,21/11/2023,spain-fs-pt-54,61,9,11
FS,19/09/2023,21/11/2023,spain-fs-pt-54,63,9,11
FS,12/09/2023,21/11/2023,spain-fs-pt-54,70,9,11
,,,,,,
FS,8/09/2023,21/11/2023,spain-fs-pt-54,74,9,11
FS,26/10/2023,27/11/2023,spain-fs-pt-55,32,10,11
FS,26/10/2023,27/11/2023,spain-fs-pt-55,32,10,11
FS,23/10/2023,27/11/2023,spain-fs-pt-55,35,10,11
FS,17/10/2023,27/11/2023,spain-fs-pt-55,41,10,11
FS,10/10/2023,27/11/2023,spain-fs-pt-55,48,10,11
FS,9/10/2023,27/11/2023,spain-fs-pt-55,49,10,11
FS,4/10/2023,27/11/2023,spain-fs-pt-55,54,10,11
FS,27/09/2023,27/11/2023,spain-fs-pt-55,61,9,11
,,,,,,
FS,20/09/2023,27/11/2023,spain-fs-pt-55,68,9,11
FS,15/11/2023,11/12/2023,spain-fs-pt-56,26,11,12
FS,4/11/2023,11/12/2023,spain-fs-pt-56,37,11,12
FS,3/11/2023,11/12/2023,spain-fs-pt-56,38,11,12
FS,2/11/2023,11/12/2023,spain-fs-pt-56,39,11,12
FS,1/11/2023,11/12/2023,spain-fs-pt-56,40,11,12
FS,27/10/2023,11/12/2023,spain-fs-pt-56,45,10,12
FS,16/10/2023,11/12/2023,spain-fs-pt-56,56,10,12
FS,9/10/2023,11/12/2023,spain-fs-pt-56,63,10,12
FS,4/10/2023,11/12/2023,spain-fs-pt-56,68,10,12
FS,3/10/2023,11/12/2023,spain-fs-pt-56,69,10,12
FS,18/09/2023,11/12/2023,spain-fs-pt-56,84,9,12
FS,31/08/2023,11/12/2023,spain-fs-pt-56,102,8,12
FS,18/08/2023,11/12/2023,spain-fs-pt-56,115,8,12
FS,30/11/2023,12/12/2023,spain-fs-pt-57,12,11,12
FS,17/11/2023,12/12/2023,spain-fs-pt-57,25,11,12
FS,13/11/2023,12/12/2023,spain-fs-pt-57,29,11,12
FS,10/11/2023,12/12/2023,spain-fs-pt-57,32,11,12
FS,8/11/2023,12/12/2023,spain-fs-pt-57,34,11,12
FS,8/11/2023,12/12/2023,spain-fs-pt-57,34,11,12
,,,,,,
FS,3/11/2023,12/12/2023,spain-fs-pt-57,39,11,12
FS,17/10/2023,12/12/2023,spain-fs-pt-57,56,10,12
FS,9/10/2023,12/12/2023,spain-fs-pt-57,64,10,12
FS,5/10/2023,12/12/2023,spain-fs-pt-57,68,10,12
FS,12/12/2023,15/01/2024,spain-fs-pt-58,34,12,1
FS,30/11/2023,15/01/2024,spain-fs-pt-58,46,11,1
FS,20/11/2023,15/01/2024,spain-fs-pt-58,56,11,1
FS,14/11/2023,15/01/2024,spain-fs-pt-58,62,11,1
FS,14/11/2023,15/01/2024,spain-fs-pt-58,62,11,1
,,,,,,
,,,,,,
FS,10/11/2023,15/01/2024,spain-fs-pt-58,66,11,1
FS,7/11/2023,15/01/2024,spain-fs-pt-58,69,11,1
FS,6/11/2023,15/01/2024,spain-fs-pt-58,70,11,1
,,,,,,
FS,20/10/2023,15/01/2024,spain-fs-pt-58,87,10,1
FS,13/10/2023,15/01/2024,spain-fs-pt-58,94,10,1
FS,27/09/2023,15/01/2024,spain-fs-pt-58,110,9,1
,,,,,,
FS,18/09/2023,15/01/2024,spain-fs-pt-58,119,9,1
FS,11/09/2023,15/01/2024,spain-fs-pt-58,126,9,1
FS,29/12/2023,22/01/2024,spain-fs-pt-60,24,12,1
FS,18/12/2023,22/01/2024,spain-fs-pt-60,35,12,1
FS,14/12/2023,22/01/2024,spain-fs-pt-60,39,12,1
,,,,,,
FS,5/12/2023,22/01/2024,spain-fs-pt-60,48,12,1
FS,5/12/2023,22/01/2024,spain-fs-pt-60,48,12,1
FS,4/12/2023,22/01/2024,spain-fs-pt-60,49,12,1
FS,30/11/2023,22/01/2024,spain-fs-pt-60,53,11,1
FS,30/11/2023,22/01/2024,spain-fs-pt-59,53,11,1
FS,24/11/2023,22/01/2024,spain-fs-pt-60,59,11,1
FS,21/11/2023,22/01/2024,spain-fs-pt-60,62,11,1
FS,8/11/2023,22/01/2024,spain-fs-pt-60,75,11,1
FS,2/11/2023,22/01/2024,spain-fs-pt-60,81,11,1
FS,20/10/2023,22/01/2024,spain-fs-pt-59,94,10,1
FS,5/10/2023,22/01/2024,spain-fs-pt-59,109,10,1
FS,5/10/2023,22/01/2024,spain-fs-pt-59,109,10,1
FS,4/10/2023,22/01/2024,spain-fs-pt-59,110,10,1
FS,2/10/2023,22/01/2024,spain-fs-pt-59,112,10,1
FS,30/09/2023,22/01/2024,spain-fs-pt-59,114,9,1
FS,20/09/2023,22/01/2024,spain-fs-pt-59,124,9,1
FS,12/09/2023,22/01/2024,spain-fs-pt-59,132,9,1
FS,18/08/2023,22/01/2024,spain-fs-pt-59,157,8,1
,,,,,,
FS,26/07/2023,22/01/2024,spain-fs-pt-59,180,7,1
FS,12/07/2023,22/01/2024,spain-fs-pt-60,194,7,1
DS,29/12/2023,29/01/2024,spain-ds-pt-5,31,12,1
DS,28/12/2023,29/01/2024,spain-ds-pt-5,32,12,1
DS,15/11/2023,29/01/2024,spain-ds-pt-5,75,11,1
DS,14/11/2023,29/01/2024,spain-ds-pt-5,76,11,1
DS,13/11/2023,29/01/2024,spain-ds-pt-5,77,11,1
DS,9/11/2023,29/01/2024,spain-ds-pt-5,81,11,1
DS,6/11/2023,29/01/2024,spain-ds-pt-5,84,11,1
DS,27/10/2023,29/01/2024,spain-ds-pt-5,94,10,1
DS,27/09/2023,29/01/2024,spain-ds-pt-5,124,9,1
FS,19/01/2024,5/02/2024,spain-fs-pt-61,17,1,2
FS,21/12/2023,5/02/2024,spain-fs-pt-61,46,12,2
FS,21/12/2023,5/02/2024,spain-fs-pt-61,46,12,2
FS,18/12/2023,5/02/2024,spain-fs-pt-61,49,12,2
FS,11/12/2023,5/02/2024,spain-fs-pt-61,56,12,2
FS,11/12/2023,5/02/2024,spain-fs-pt-61,56,12,2
FS,4/12/2023,5/02/2024,spain-fs-pt-61,63,12,2
FS,28/11/2023,5/02/2024,spain-fs-pt-61,69,11,2
FS,28/11/2023,5/02/2024,spain-fs-pt-61,69,11,2
,,,,,,
FS,6/11/2023,5/02/2024,spain-fs-pt-61,91,11,2
FS,19/01/2024,12/02/2024,spain-fs-pt-62,24,1,2
FS,15/01/2024,12/02/2024,spain-fs-pt-62,28,1,2
FS,15/01/2024,12/02/2024,spain-fs-pt-62,28,1,2
FS,12/01/2024,12/02/2024,spain-fs-pt-62,31,1,2
FS,8/01/2024,12/02/2024,spain-fs-pt-62,35,1,2
FS,6/01/2024,12/02/2024,spain-fs-pt-62,37,1,2
FS,4/01/2024,12/02/2024,spain-fs-pt-62,39,1,2
,,,,,,
FS,4/01/2024,12/02/2024,spain-fs-pt-62,39,1,2
,,,,,,
,,,,,,
FS,3/01/2024,12/02/2024,spain-fs-pt-62,40,1,2
,,,,,,
FS,29/12/2023,12/02/2024,spain-fs-pt-62,45,12,2
FS,27/12/2023,12/02/2024,spain-fs-pt-62,47,12,2
FS,15/12/2023,12/02/2024,spain-fs-pt-62,59,12,2
DS,27/01/2024,19/02/2024,spain-ds-pt-6,23,1,2
DS,22/01/2024,19/02/2024,spain-ds-pt-6,28,1,2
DS,19/01/2024,19/02/2024,spain-ds-pt-6,31,1,2
DS,19/01/2024,19/02/2024,spain-ds-pt-6,31,1,2
DS,18/01/2024,19/02/2024,spain-ds-pt-6,32,1,2
DS,16/01/2024,19/02/2024,spain-ds-pt-6,34,1,2
DS,12/01/2024,19/02/2024,spain-ds-pt-6,38,1,2
DS,8/01/2024,19/02/2024,spain-ds-pt-6,42,1,2
DS,1/12/2023,19/02/2024,spain-ds-pt-6,80,12,2
DS,31/03/2023,19/02/2024,spain-ds-pt-6,325,3,2
FS,14/02/2024,27/02/2024,spain-fs-pt-63,13,2,2
FS,6/02/2024,27/02/2024,spain-fs-pt-63,21,2,2
,,,,,,
FS,2/02/2024,27/02/2024,spain-fs-pt-63,25,2,2
FS,1/02/2024,27/02/2024,spain-fs-pt-63,26,2,2
FS,24/01/2024,27/02/2024,spain-fs-pt-63,34,1,2
FS,18/01/2024,27/02/2024,spain-fs-pt-63,40,1,2
FS,16/01/2024,27/02/2024,spain-fs-pt-63,42,1,2
FS,3/01/2024,27/02/2024,spain-fs-pt-63,55,1,2
FS,13/12/2023,27/02/2024,spain-fs-pt-63,76,12,2
FS,12/12/2023,27/02/2024,spain-fs-pt-63,77,12,2
FS,20/10/2023,27/02/2024,spain-fs-pt-63,130,10,2
FS,3/10/2023,27/02/2024,spain-fs-pt-63,147,10,2
FS,29/02/2024,4/03/2024,spain-fs-pt-65,4,2,3
FS,13/02/2024,4/03/2024,spain-fs-pt-65,20,2,3
FS,7/02/2024,4/03/2024,spain-fs-pt-65,26,2,3
FS,6/02/2024,4/03/2024,spain-fs-pt-65,27,2,3
FS,6/02/2024,4/03/2024,spain-fs-pt-65,27,2,3
FS,5/02/2024,4/03/2024,spain-fs-pt-65,28,2,3
FS,5/02/2024,4/03/2024,spain-fs-pt-65,28,2,3
FS,30/01/2024,4/03/2024,spain-fs-pt-64,34,1,3
FS,29/01/2024,4/03/2024,spain-fs-pt-65,35,1,3
FS,26/01/2024,4/03/2024,spain-fs-pt-65,38,1,3
FS,11/01/2024,4/03/2024,spain-fs-pt-65,53,1,3
FS,11/01/2024,4/03/2024,spain-fs-pt-64,53,1,3
FS,10/01/2024,4/03/2024,spain-fs-pt-65,54,1,3
FS,10/01/2024,4/03/2024,spain-fs-pt-64,54,1,3
FS,3/01/2024,4/03/2024,spain-fs-pt-65,61,1,3
FS,2/01/2024,4/03/2024,spain-fs-pt-65,62,1,3
FS,31/12/2023,4/03/2024,spain-fs-pt-64,64,12,3
FS,27/12/2023,4/03/2024,spain-fs-pt-64,68,12,3
FS,19/12/2023,4/03/2024,spain-fs-pt-65,76,12,3
FS,18/12/2023,4/03/2024,spain-fs-pt-64,77,12,3
FS,12/12/2023,4/03/2024,spain-fs-pt-64,83,12,3
FS,2/12/2023,4/03/2024,spain-fs-pt-64,93,12,3
FS,30/11/2023,4/03/2024,spain-fs-pt-65,95,11,3
,,,,,,
FS,28/11/2023,4/03/2024,spain-fs-pt-64,97,11,3
FS,22/11/2023,4/03/2024,spain-fs-pt-64,103,11,3
FS,20/11/2023,4/03/2024,spain-fs-pt-64,105,11,3
,,,,,,
FS,30/10/2023,4/03/2024,spain-fs-pt-64,126,10,3
FS,24/10/2023,4/03/2024,spain-fs-pt-64,132,10,3
FS,19/10/2023,4/03/2024,spain-fs-pt-64,137,10,3
FS,22/08/2023,4/03/2024,spain-fs-pt-65,195,8,3
FS,18/03/2024,1/04/2024,spain-fs-pt-66,14,3,4
DS,12/03/2024,1/04/2024,spain-ds-pt-7,20,3,4
DS,9/03/2024,1/04/2024,spain-ds-pt-7,23,3,4
FS,8/03/2024,1/04/2024,spain-fs-pt-66,24,3,4
FS,5/03/2024,1/04/2024,spain-fs-pt-66,27,3,4
DS,4/03/2024,1/04/2024,spain-ds-pt-7,28,3,4
,,,,,,
FS,1/03/2024,1/04/2024,spain-fs-pt-66,31,3,4
DS,29/02/2024,1/04/2024,spain-ds-pt-7,32,2,4
FS,26/02/2024,1/04/2024,spain-fs-pt-66,35,2,4
FS,26/02/2024,1/04/2024,spain-fs-pt-66,35,2,4
FS,26/02/2024,1/04/2024,spain-fs-pt-66,35,2,4
FS,23/02/2024,1/04/2024,spain-fs-pt-66,38,2,4
FS,21/02/2024,1/04/2024,spain-fs-pt-66,40,2,4
FS,20/02/2024,1/04/2024,spain-fs-pt-66,41,2,4
FS,19/02/2024,1/04/2024,spain-fs-pt-66,42,2,4
FS,16/02/2024,1/04/2024,spain-fs-pt-66,45,2,4
DS,15/02/2024,1/04/2024,spain-ds-pt-7,46,2,4
DS,15/02/2024,1/04/2024,spain-ds-pt-7,46,2,4
FS,8/02/2024,1/04/2024,spain-fs-pt-66,53,2,4
FS,4/02/2024,1/04/2024,spain-fs-pt-66,57,2,4
FS,15/01/2024,1/04/2024,spain-fs-pt-66,77,1,4
DS,11/12/2023,1/04/2024,spain-ds-pt-7,112,12,4
,,,,,,
DS,27/11/2023,1/04/2024,spain-ds-pt-7,126,11,4
DS,24/11/2023,1/04/2024,spain-ds-pt-7,129,11,4
FS,15/11/2023,1/04/2024,spain-fs-pt-66,138,11,4
DS,29/10/2023,1/04/2024,spain-ds-pt-7,155,10,4
DS,27/10/2023,1/04/2024,spain-ds-pt-7,157,10,4
DS,4/10/2023,1/04/2024,spain-ds-pt-7,180,10,4
FS,26/03/2024,15/04/2024,spain-fs-pt-67,20,3,4
FS,5/03/2024,15/04/2024,spain-fs-pt-67,41,3,4
FS,4/03/2024,15/04/2024,spain-fs-pt-67,42,3,4
FS,4/03/2024,15/04/2024,spain-fs-pt-67,42,3,4
FS,4/03/2024,15/04/2024,spain-fs-pt-67,42,3,4
FS,4/03/2024,15/04/2024,spain-fs-pt-67,42,3,4
FS,2/03/2024,15/04/2024,spain-fs-pt-67,44,3,4
FS,1/03/2024,15/04/2024,spain-fs-pt-67,45,3,4
